S/N,Authors,Title of paper,Year of Publication,Venue of Publication (e.g.IEEE),Type of Publication (Conference or Journal),Pre-processing Techniques,Datasets,Size,Skin Diseases,Parts of the Affected Skin,Model,Accuracy,Limitation,sensitivity ,specificity,Confusion Matrix (CM) Bias,Class imbalance (#datasets for that class compared to the highest class),"Early, Mid or  Late stages",Cancerous Versus Non-Cancerous,No of skin diseases,,
1,Pacheco and Krohling (2020),A patient-centric dataset of images and metadata for identifying melanomas using clinical context,2020,IEEE,Journal ,"Data augmentation, Color constancy pre-processing, Label balancing.",PAD-UFES-20 dataset,1612 images,"Actinic Keratoses and Intraepithelial Carcinoma, Basal Cell Carcinoma, Melanoma, Nevus, Squamous Cell Carcinoma, Sebhorreic
Keratosis",,"ResNet-50,  ResNet101,  GoogleNet,  MobileNet,  VGGNet-13,  VGGNet-19","ResNet-50 :67.1%,  ResNet101: 69.1%,  GoogleNet: 70.4%,  MobileNet: 69.1%,  VGGNet-13: 70.7%,  VGGNet-19: 67.9%",The dataset used in this study was small,80%,Not reported and not visible to be computed,Squamous Cell Carcinoma was correctly classified 50% compared to other skin diseases.,"Not applicable. Though there was a case of class imbalance, SCC did not have as much as the other one that performed better.",Not specified,"Cancerous: Intraepithelial Carcinoma, Basal Cell Carcinoma,
Melanoma, Squamous Cell Carcinoma. Non-cancerous: Nevus, Seborrheic Keratosis, Actinic Keratoses",6,,
2,Junayed et al (2021),ScarNet: Development and Validation of a Novel Deep CNN Model for Acne Scar Classification with a New Dataset.,2021,IEEE,Journal ,"Image Resizing, Color Space Conversion, Guided Image Filtering",Class Acne Scar,250 RGB images,"Acne scars(icepick, rolling, boxcar, hypertrophic, and keloidal scars)",,DCNN,92.53%,The sample size used is very small and the model might be overfitting.,82.34%,95.38%,Rolling skin scar 1.14% correct classification.,,not specified,Non cancerous,1,,
3,Xie et al (2020),"A Mutual Bootstrapping Model for Automated Skin
Lesion Segmentation and Classification",2020,IEEE,Journal ,"Data Augmentation, Handling Class Imbalance, Ranking of Pixels",ISIC-2017 and PH2,"150,223 clinical images","Melanoma, Nevus, and Seborrheic Kratosis",,MB-DCNN,92.30%,,96.70%,94.60%,No CM,,Not specified,"cancerous: Melanoma , Non-cancerous: Nevus, Seborrheic Keratosis",3,,
4,Naji and El Abbadi 2022,Skin Diseases Classification using Deep Convolutional Neural Network,2022,IEEE,Conference," Image Resize, Image Augmentation, Image standardizatio","Kaggle, Dermnetnz, Dermcoll, Medical","21,485 color images","Atopic Dermatitis, Basal Cell Carcinoma, Benign Keratosis-like lesions, Eczema, Healthy Skin, Linchen Planus, Melanocytic Nevi, Melanoma, Pityriasis Rosea, Psoriasis ",,CNN,91.07%.,,Not reported for the overall model but for individual skin disease with minimum of 72% for Eczema,Not reported,,,,,10,,
5,Sadik et al (2023),An in-depth analysis of Convolutional Neural Network architectures with transfer learning for skin disease diagnosis,2023,Elsevier,journal ,"Real-time data augmentation,",HAM10000 & Dermnet,"18,692 images","Atopic Dermatitis, Eczema, Herpes, Melanoma, Nervus",,MobileNet and Xception,"MobileNet = 96.00%,       Xception = 97.00%",,96% Mobile Net and 97% for Xception,"Not reported for the overall model but for individual skin disease with minimum of 75.25% for both Melanoma
and Nevus",Not Applicable,,Not specified,"cancerous: Melanoma, Non-cancerous: Atopic Dermatitis, Eczema, Herpes, Nevus",5,,
6,Bindhu and Thanammal (2023),Segmentation of skin cancer using Fuzzy U-network via deep learning,2023,Elsevier,journal ,Bilateral Filter,ISIC dataset,35126 images,Benign skin lesions and Malignant skin lesions.,,MFO-Fuzzy Unet,99.13%,,95.78%,94.65%,No CM,,Not Specified ,"Cancerous: Benign, non-cancerous: melignant",2,,
7,Keerthana et al (2023),Hybrid convolutional neural networks with SVM classifier for classification of skin cancer,2023,Elsevier,Journal ,"Resizing Images,Image Augmentation",ISBI 2016 dataset,1279 images,Benign skin lesions and Malignant skin lesions.,,Hybrid CNN-SVM,88.02%,,98.54%,40%,Malignant 55% compared to Benign 88%,,Not Specified ,"Cancerous: Benign, non-cancerous: melignant",2,,
8,Mridha et al (2023),"An Interpretable Skin Cancer Classification Using
Optimized Convolutional Neural Network for a
Smart Healthcare System",2023,IEEE,Journal ,,The HAM10000,"40,157 images","Actinic Keratosi, Basal Cell Carcinoma, benign keratosis, dermatofibroma, , Nevus, Melanoma, vascular lesions ",,CNN,82%,,Not reported for the overall model but for individual skin disease with minimum of 0% for Adam optimizer and 15.8% for RMSProp.,Not reported,Basal cell carcinoma 0% compared to Dermafibroma 100%,,Not Specified,"cancerous: Basal Cell Carcinoma, Melanoma, non-cancerous : Actinic Keratosis, Benign Keratosis, Dermatofibroma, Nevus, Vascular Lesions.",7,,
9,Asiri et al (2023),IoT enabled healthcare environment using intelligent deep learning enabled skin lesion diagnosis model,2023,Elsevier,Journal ,"Image segmentation , Image preprocessing",ISIC dataset,697 images,"Basal Cell Carcinoma, Angioma, Lentigo NOS , Nevus, Solar Lentigo , Melanoma, and Sebhorreic Keratose.",, MobileNetv2,99.06%,,Not reported for the overall model but for individual skin disease with minimum of 94.59% for Basal Cell Carcinoma.,Not reported for the overall model but for individual skin disease with minimum of 98.80% for Basal Cell Carcinoma,Not Applicable,Not Applicable,,"cancerous: Basal Cell Carcinoma, Melanoma, non-cancerous : Lentigo NOS, Angioma, Nevus, Solar Lentigo, Seborrheic Keratosis.",7,,
10,Bung?ardean et al 2021,Deep learning with transfer learning in pathology. Case study: classification of basal cell carcinoma,2021,Elsevier,Journal ,"Histological Processing, Slide Scanning, Image Cropping, Data Augmentation, Normalization, Labeling.","Clinical Municipal Hospital in Cluj-Napoca, Romania.",102 images,Basal Cell Carcinoma,,"AlexNet, GoogLeNet, and ResNet-18","AlexNet= 82%, GoogLeNet= 83%, and ResNet-18, 82%",The dataset used in this study was small,"AlexNet= 76.48%, GoogLeNet= 76.19%, and ResNet-75.81%","AlexNet= 98.2%, GoogLeNet= 98.32%, and ResNet-98.24%",Not Applicable,Not Applicable,Not specified,cancerous: Basal Cell Carcinoma,1,,
11,Kimeswenger et al 2021,Artificial neural networks and pathologists recognize basal cell carcinomas based on different histological patterns,2021,PubMed,Journal,"WSI Downsizing, Tile Extraction and Removal of Empty Tiles, Tile Normalization.",Kepler University Hospital and the Medical University of Vienna,820 images,Basal Cell Carcinoma,,ANN,99.30%,"The dataset utilized was of small size, and their emphasis was exclusively placed on the diagnosis of basal cell carcinomas (BCCs).",96.5%: CI: 0.951–0.979,91%: CI: 0.859–0.960,Not Applicable,Not Applicable,Not specified,cancerous: Basal Cell Carcinoma,1,,
12,Akyeramfo-Sam et al (2019),A Web-Based Skin Disease Diagnosis Using Convolutional Neural Networks,2019,Elsevier,Journal," Smoothing, Aggregation, Normalization, Attribute Construction,  Image Resizing, Filtering, Image Segmentation, Feature Extraction","Four (4) medical centers in the Sunyani Municipality, Ghana.",254 images,"Atopic Dermatitis, Acne vulgaris and Scabies",,CNN,"accuracy of 88% (atopic dermatitis), 85% (acne vulgaris), and 84.7% for (scabies)
","The study is limited in the dataset, which may affect the accuracy. ",Not reported,Not reported,No CM,Scabies had the lowest number of dataset compared to others.They all had a close range of accuracy.,Not Specified,"non-cancerous: Atopic Dermatitis, Acne vulgaris and Scabies",3,,
13,Arunkumar and Jayanna (2022),"A Novel Lightweight Approach for the
Classification of Different Types of
Psoriasis Disease Using Depth Wise",2022,Indian Journal of Science and Technology,Journal,,"Department of Skin and STD, Karnataka Institute of Medical Sciences, Hubli and Department of Dermatology, Navodaya Medical College, Raichur, and Rani Channamma University, Belagavi",8000 images,"Erythrodermic Psoriasis, guttate psoriasis, inverse psoriasis, nail Psoriasis, plaque, and pustular Psoriasis.",,Depthwise separable convolution neural network,95%,"The authors did not clean the images, as this can lead to producing inaccurate or unreliable results.",Not reported for the overall model but but for individual skin disease with minimum of 65% for Pustular psoriasis ,Not reported,Unclear CM ,There were cases of class imbalance. pustular psoriasis image didnt have as much dataset as others and  nail psoriasis had many dataset comared to others.  ,Not specified,Non cancerous,6,,
14,Wako et al (2022),"Squamous Cell Carcinoma of Skin Cancer
Margin Classification from Digital
Histopathology Images Using Deep Learning",2022,PubMed,Journal,"ResizeImage, Smoothing, Stain Normalization, Data Augmentation,",Jimma University Medical Center,878 images,Squamous Cell Carcinoma,,"EfficientNetB0, MobileNetv2, ResNet50, and VGG16","EffecientNetB0=95.2%,,
MobileNetv2  91.5%, ResNet50=  87%,VGG16= 85.5%","The paper achieved impressive accuracy, but the dataset used in the study was relatively small, which would have led to overfitting.",96% best model EffecientNetB0,96% best model EffecientNetB0,Not applicable,Images with Tumor-Normal had the lowest number of dataset compared to others.,Not specified,cancerous,1,,
15,Muhaba et al (2022),"Automatic skin disease diagnosis using deep learning
from clinical image and patient information",2022,PubMed,Journal,"Image resizing, Colour constancy, Data augmentation",Dr.Gerbimediumclinic of JimmaandBoru meda General Hospital of Dessie,1880 images,"Healthy, Acnevulgaris, Atopic dermatitis, Lichenplanus, Onychomycosis, Tineacapitis, & unknown",,MobileNet-v2 ,97.50%,"The study has demonstrated a remarkable accuracy of 97.5%, but the limited data used in the analysis raises concerns about the possibility of overfitting.",97.70%,Not reported,Atopic dermatitis  was correctly classified 77% compared to other skin diseases.,Not applicable,not specified,Cancerous,6,,
16,Hekler et al (2019),Deep learning outperformed 11 pathologists in the classification of histopathological melanoma images,2019,Elsevier,Journal,"Digitalization of Slides, Random Cropping, Image Augmentation, ","Dermatohistopathologic Institute, Heidelberg, Germany",695 images,Nevus and Melanoma,,CNN,"Accuracy of 82% for melanomas, 80% for nevi, and 81% for the full set of images.",The dataset used in these studies was very small,76%,60%,No CM,Not applicable,not specified,"cancerous:Melanoma , non-cancerous: Nevus",2,,
17,Khater et al (2023) ,Skin cancer classification using explainable artificial intelligence on pre-extracted image features,2023,Elsevier,Journal,,PH2 dataset,200 dermoscopy images,Melanoma and non-Melanoma,,XG-boost,94%,,94%,Not reported,not applicable,not applicable,not specified,cancerous,2,,
18,"Wu et al., (2023)",Machine learning-based prediction models for atopic dermatitis diagnosis and evaluation,2023,Elsevier,Journal,Not applicable,"four AD-related microarray datasets (GSE133477, GSE32924, GSE58558, and GSE107361)",,Atopic Dermatitis,,LASSO and Logistic linear regression," GSE99802 dataset:
        LASSO: 0.7761
        Logistic linear regression: 0.8783
    GSE130588 dataset:
        LASSO: 0.8761
        Logistic linear regression: 0.8302",The dataset used in these studies was small and the lack of comprehensive clinical data analysis.,Not reported,Not reported,No CM,GSE32924 and GSE 58558 did not have as much dataset as he others.,,,,,
19,"Nasiri et al., (2020)",DePicT Melanoma Deep-CLASS: a deep convolutional neural networks approach to classify skin lesion images,2020,PubMed,Journal,Image processing features extraction,ISIC dataset ,1796 images,Melanoma,,DCNN,75%,The dataset used in this study was small,73%,78%,No CM,not applicable,Early,cancerous,1,,
20,Emuoyibofarhe & Ajisafe.(2020),Early Skin Cancer Detection Using Deep Convolutional Neural Networks on Mobile Smartphones,2020,International Journal of Information Engineering & Electronic Business,Journal,"Data augmentation, Feature Scaling, Resizing",ISIC dataset,"2,358 images ",Benign and Malignant Melanoma skin diseases,," CNN, VGG-16 CNN,
and Google Inception V3"," CNN= 71.17%, VGG16= 76.67% , Inception-V3= 81% (90%?).","One of the study's limitations is the lack of fine-tuning of the inception v3 network, and another limitation is the absence of diverse skin cancer datasets for augmentation.",89.51 for Inveception-V3 the best performing model.,Not reported,not applicable,not applicable,Early,"cancerous: Melignant melanoma, Non-cancerous: benign",2,,
21,Singh et al (2022),SkiNet: A deep learning framework for skin lesion diagnosis with uncertainty estimation and explainability,2022,PubMed,Journal,"Test-time Data Augmentation, Segmentation",ISIC 2018 dataset,"13,302 images","Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis , Dermatofibroma, and Vascular lesions ",,Bayesian Multi ResUNet and DenseNet-169,"Bayesian Multi ResUNet= 73.65%, DenseNet-169= 87.35%","The study did not explore pre-hoc interpretation methods such as attention mechanisms during the model training, which could potentially limit the further enhancement of the model's performance",Not reported and not visible to be computed,Not reported and not visible to be computed,No CM,The individual number of images were not spefified for each class.,not specified,"cancerous : Melanoma, Basal Cell Carcinoma, Actinic Keratoses and Intraepithelial Carcinoma, non-cancerous: Melanocytic Nevi, Benign Keratosis
Dermatofibroma, Vascular lesions",7,,
22,Balamurugan et al (2021),Convolutional Neural Network-based Bi-Diverse Activation for Skin Lesion Classification,2021,Turkish Journal of Computer and Mathematics Education (TURCOMAT),Journal,"Image Resizing, Normalization",ISIC dataset,"2,637 images",benign and malignant lesions ,,CNN,84%,,82%,87%,Not applicable,not applicable,not specifed,"cancerous: Melignant, Non-cancerous: benign",2,,
23,Indraswari et al (2022),Melanoma image classification based on MobileNetV2 Network,2022,Elsevier,Conference,"Resizing and Cropping, Data Augmentation","ISIC, ISBI 2016, MED-Node, and PH2 datasets",3011 benign images and 1855 malignant images,benign and malignant Melanoma lesions ,, MobileNetV2 network,85%,The paper did not address the problem of an imbalanced dataset.,85%,85%,No CM,Malignant didnt have much dataset compared to Benign,not specified,"cancerous: Melignant, Non-cancerous: benign",2,,
24,Krohling et al (2021),"A Smartphone-based Application for Skin Cancer
Classification Using Deep Learning with Clinical
Images and Lesion Information",2021,arXiv preprint,Journal,Data Balancing,Dermatological Assistant Program (PAD) at the Federal University of Espirito Santo (UFES)-20,"2,057 images ","Actinic Keratoses and Intraepithelial Carcinoma, NEV, and Sebhorreic Keratoses and three skin cancers, Basal Cell Carcinoma, , Melanoma and Squamous Cell Carcinoma",,CNN,85%,"One limitation of the reviewed paper is the use of a small and potentially low-quality dataset, which may have contributed to the low accuracy of the results.",96%,Not reported and not visible to be computed,No CM,Melanoma had a smaller dataset compared to other skin diseases,not specified,"cancerous : Basal Cell Carcinoma, Melanoma, Squamous Cell Carcinoma, Non-cancerous: Actinic Keratoses, Intraepithelial Carcinoma, Nevus, Seborrheic Keratoses",6,,
25,Gouda et al (2022),"Detection of Skin Cancer Based on Skin Lesion Images Using
Deep Learning",2022,PubMed,Journal,"data augmentation, image improvement using (ESRGAN), im-
age resizing, and normalization.",ISIC-2018,3533 images ,"benign, malignant",,CNN,83.20%,"The authors did not explore using other popular CNNs, such as VGG and AlexNet, for analyzing the cancer dataset, despite using several other CNNs, including CNN, Resnet50, InceptionV3, and Inception ResNet. ",89%,83%,Not applicable,not applicable,Early,"cancerous: Melignant, Non-cancerous: benign",2,,
26,Popescu et al (2022),"Skin Lesion Classification Using Collective Intelligence of
Multiple Neural Networks",2022,PubMed,Journal,"Data Augmentation, Balancing Classes, ",HAM10000 database ,"10,015 dermatoscopic images ","Basal Cell Carcinoma, dermatofibroma ,Melanoma, Nevus, vascular lesions, Actinic Keratoses and Intraepithelial Carcinoma , andBenign Keratosis  skin lesions",,"AlexNet, GoogLeNet, GoogLeNet-Places365, MobileNet-V2, Xception, ResNet-50, ResNet- 101, InceptionResNet-V2 and DenseNet201","Xception        78.45%
DenseNet-201        78.59%
IncpetionResNet-V2        79.39%
GoogLeNet-Places365        79.45%
GoogLeNet        79.45%
AlexNet        79.65%
MobileNet-V2        80.59%
ResNet-50        81.12%
ResNet-101        83.99%
Proposed CIS        86.71%","A limitation of the reviewed paper is that while the collective intelligence-based system for skin lesion diagnosis outperformed individual networks, adding too many classifiers may not improve performance significantly. An iterative method for selecting networks is needed to prevent complexity saturation.",Not reported and not visible to be computed,Not reported and not visible to be computed,,Dermatofibroma and Vascular lesions had the lowest number of dataset compare to others.,not specified,"cancerous: Basal Cell Carcinoma, Melanoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma , Non-Cancerous: Dermatofibroma, Nevus, Vascular Lesions, Benign Keratosis ",7,,
27,Ahmad et al (2020),Discriminative Feature Learning for Skin Disease Classification Using Deep Convolutional Neural Network,2020,IEEE,Journal,"Normalization, Resizing",Dermatologists from Wuhan Union Hospital,"14,000 balanced images "," acne, spots, blackheads, dark circles, and clean faces. ",,ResNet152 and InceptionResNet-V2,ResNet152: 84.91% and InceptionResNet-V2: 87.42%,"The method assumes the biological organization of skin diseases, limiting its effectiveness for non-biologically related diseases.",97%,97%,Not applicable,not applicable,not specified,Non- Cancerous,5,,
28,Amin and Farooq (2021),Automated Psoriasis Detection Using Deep Learning,2021,VFAST Transactions on Software Engineering,Journal,"Image Format Standardization, Removal of Irrelevant Background, Image Resizing, Image Augmentation.",DermNetNZ,815 images,"psoriasis, Pityriasis, Seborrheic Dermatitis, Eczema, Tinea Corporis, Dandruff, and Lichen Planus.",,ResNeXt,94%,The limitation of this study is the small dataset they used which may have introduced bias and increased the risk of overfitting in the analysis.,97%,91%,Not applicable,The individual number of images were not spefified for each class.,not specified,Non- Cancerous,7,,
29,Demir et al (2019) ,"Early Detection of Skin Cancer Using Deep Learning
Architectures: Resnet-101 and Inception-v3",2019,IEEE,Journal,"Resizin, Normalization, Data Augmentation",ISIC-Archive,"2437 training images, 660 test images, and 200 validation images.",benign and malignant skin diseases,,ResNet-101 and Inception-v3,"ResNet-101: 84.09%, Inception-v3: 87.42%","one limitation of a paper is that it did not preprocess the data, so the model may have been trained on noisy or irrelevant data, which can lead to poor performance.
Another limitation is that the author did not explore more CNN models, and by so doing, they must have missed out on potentially better models that could have improved the accuracy of their results.",89%,91%,,Not applicable,not specified,"cancerous: Melignant, Non-cancerous: benign",2,,
30,Ali et al (2022),Multiclass skin cancer classification using EfficientNets – a first step toward preventing skin cancer,2022,Elsevier,Journal,"Image Inpainting, Blackhat Transform as Mask",HAM10000 dataset,"10,015 dermatoscopic images","Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis , Dermatofibroma , and Vascular lesions ",,EfficientNet models (B0-B7),87.91%,The author did not explore the potential for further advancements with fine-tuned models specific to each type of malignancy.,88% for best performing model,88% for best performing model, Dermatofibroma was correctly classified 0.32 compared to other skin diseases.,Dermatofibroma and Vascular lesions had the lowest number of dataset compare to others.,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
31,Bechelli and Delhommelle (2022),"Machine Learning and Deep Learning Algorithms for Skin
Cancer Classification from Dermoscopic Images",2022,pubMed,Journal,"Resizing, Normalizatio, Vectorization, Data Augmentation",Kaggle and HAM10000,,malignant or benign skin cancer,,"ML= (LR, LDA, KNN, CART, NB, SVM) DL= (VGG16, Xception and ResNet50)","VGG16=88% , Xception: 0.80%, ResNet50: 0.87%","One limitation of the reviewed paper is that it only explored a limited set of deep-learning models for skin disease classification. Additionally, the study did not explore the potential benefits of ensemble multiple models to boost accuracy further.",83% with Kaggle database.,Not reported and not visible to be computed,No CM,The individual number of images were not spefified for each class.,Not specified,"cancerous: Melignant, Non-cancerous: benign",2,,
32,Fan et al (2019),Effect of Image Noise on the Classification of Skin Lesions Using Deep Convolutional Neural Networks,2019,IEEE,Journal,"Addition of Gaussian noise , Addition of impulse noise ",Dermofit Image ,1300 images,"Squamous Cell Carcinoma, Melanoma, and Basal Cell Carcinoma",,Inception-v3,88.80%,"The study did not explore the effect of various types of noise commonly present in medical images, apart from Gaussian and impulse noises, which limits the understanding of how a wider range of noise affects the classification accuracy of skin lesions.",98.18%,94.12%,No CM,The individual number of images were not spefified for each class.,Not specified,"cancerous: Squamous Cell Carcinoma, Melanoma, and Basal Cell Carcinoma",3,,
33,Pham et al (2020),Improving Skin-Disease Classification Based on Customized Loss Function Combined with Balanced Mini-Batch Logic and Real-Time Image Augmentation,2020,IEEE,Journal," cropping, resizing",HAM10000 and ISIC 2019,"24,530 images","Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions ",,EfficientNetB4-CLF,89.97%,The limited exploration of the loss function in this study restricts its applicability to diverse medical image analysis tasks and datasets with imbalanced classes.,94% for the best performing model.,Not reported and not visible to be computed,Not applicable,Dermatofibroma and Vascular lesions had the lowest number of dataset compare to others.,Not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
34,Dandu et al (2023),Transfer learning for segmentation with hybrid classification to Detect Melanoma Skin Cancer,2023,Heliyon,Journal,"Auto Color Correlogram Filter, Binary Patterns Pyramid Filter, Colour Layout Filter",ISIC 2018 dataset,"approximately 10,000 images",Melanoma skin cancer,,Bagging with Auto Color Correlogram FilterAttribute Selected Classifier with Auto Color Correlogram FilteBagging with Binary Patterns Pyramid FilterAttribute Selected Classifier with Binary Patterns Pyramid FilterBagging with Colour Layout FilterAttribute Selected Classifier with Colour Layout Filter,"Bagging with Auto Color Correlogram Filter: 83.88%,  Attribute Selected Classifier with Auto Color Correlogram Filte: 82.65%,  Bagging with Binary Patterns Pyramid Filter: 85.06%, Attribute Selected Classifier with Binary Patterns Pyramid Filter: 89.97% , Bagging with Colour Layout Filter: 85.77%, Attribute Selected Classifier with Colour Layout Filter: 90.96%",The dataset used in this study was small,91%,Not reported and not visible to be computed,No CM,Dermatofibroma and Vascular lesions had the lowest number of dataset compare to others.,Not specified,Cancerous,,,
35,Iqbal et al (2021),Automated multi-class classification of skin lesions through the deep convolutional neural network with dermoscopic images,2021,Elsevier,Journal,"Cropping, Rescaling, Partitioning, Augmentation","ISIC-17, ISIC-18, and ISIC-19",25331 labeled images,"Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions ",,DCNN,90%,"The study only used only one model and failed to use other models. By using only one model, the reviewed paper may have missed opportunities to identify more patterns or relationships, which could have limited the overall accuracy and robustness of the result.  ",93%,91%,Not applicable,Dermatofibroma and Vascular lesions had the lowest number of dataset compare to others.,Not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
36,Jojoa Acosta et al (2021),Melanoma diagnosis using deep learning techniques on dermatoscopic images,2021,BMC Medical Imaging,Journal,"Cropping with Mask R-CNN, Data Augmentation",ISBI 2017,,benign and malignant skin lesions,,ResNet152,90.40%,focused on melanoma and neglecting the inclusion of other skin diseases.,82.00%,92.50%,,,Not Specified,"cancerous: Melignant, Non-cancerous: benign",2,,
37,Mohamad and Suriani (2022),Skin disease classification using convolutional neural network via an Android smartphone application.,2022,Evolution in Electrical and Electronic Engineering,Journal,"Resizing, Augmentation, Normalization",public dermatology sources,,"acne, eczema,  vitiligo",,MobileNet-V2,94.40%,The limitation of this study is the overfitting behavior observed in the loss curve. It may result in the model performing well on the training data but poorly on the new dataset.,93%,Not reported for the overall model but for individual skin disease with minimum of 87% for Acne,Not appicable,There is a case of imbalance dataset. Vitiligo had the smallest dataset compare to others  ,not specified,Non- Cancerous,7,,
38,Bian et al (2021),"Skin Lesion Classification by Multi-View
Filtered Transfer Learning",2021,IEEE,Journal,"Reshaping, Augmenting",HAM10000 and ISIC-2017 ,10536 images,"Actinic Keratosis, Basal Cell
Carcinoma, Benign Keratosis, Dermatofibroma, Melanocytic
nevi, Melanoma, Vascular Skin Lesion, 
, Seborrheic Keratosis , and Benign Nevi.",,ResNet-50,91.80%,One limitation of this domain adaptation method is that its effectiveness has only been tested on a limited number of dermatology datasets. Further validation is necessary on a wider range of such datasets.,Not reported for the overall model but for individual skin disease with minimum of 62.4% for Melanoma,Not reported for the overall model but for individual skin disease with minimum of 91.8% for  Seborrheic Keratosi,No CM,,Not specified,"Cancerous: Basal Cell Carcinoma , Melanoma. Non-Cancerous: Actinic Keratosis, Benign Keratosis, Dermatofibroma, Melanocytic Nevi , Vascular Skin Lesion, Seborrheic Keratosis, Benign Nevi ",9,,
