S/N,Authors,Title of paper,Year of Publication,Venue of Publication (e.g.IEEE),Type of Publication (Conference or Journal),Pre-processing Techniques,Datasets,Size,Skin Diseases,Parts of the Affected Skin,Model,Accuracy,Limitation,sensitivity ,specificity,Confusion Matrix (CM) Bias,Class imbalance (#datasets for that class compared to the highest class),"Early, Mid or  Late stages",Cancerous Versus Non-Cancerous,No of skin diseases,,
39,Kousis et al (2022),"Deep Learning Methods for Accurate Skin Cancer Recognition
and Mobile Application",2022,MDPI,Journal,"Data Augmentation, Color Space Transformation",the HAM10000 database ,"10,015 images","Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions  ",,"CNN, AlexNet, VGG16, VGG19, ResNet50, InceptionV3, MobileNetV2, InceptionResNetV2, DenseNet121, DenseNet169, and DenseNet201.   ","CNN        82.15        
AlexNet        80.74        
VGG16        90.15        
VGG19        85.55        
ResNet50        90.36        
InceptionV3        91.13        
MobileNetV2        80.69        
InceptionResNetV2        90.29        
DenseNet121        91.20        
DenseNet169        92.25        
DenseNet201        90.14        ",One limitation of the research paper is that it did not explore the potential benefits of using ensembles of deep-learning models to improve diagnostic accuracy.,93.59%,Not reported for the overall model but for individual skin disease with minimum of 91.8% for  Seborrheic Keratosi,AKIEC was correctly classified 0.68% compared to other skin diseases.,Dermatofibroma and Vascular lesions had the lowest number of dataset compare to others.,Not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
40,Polat and Koc (2020),Detection of skin diseases from dermoscopy image using the combination of convolutional neural network and one-versus-all.,2020,"IEC Science
",Journal,Data augmentation,the HAM10000 dataset,"10,015 dermatoscopic images","Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions  ",,ResNetV2,92.90%,The model was not tested on datasets from various domains and may have a large variance.,Not reported for the overall model but for individual skin disease with minimum of 21% for Akiec,Not reported and not visible to be computed,No CM,Dermatofibroma and Vascular lesions had the lowest number of dataset compare to others.,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
41,Bajwa et al (2020),"Computer-Aided Diagnosis of Skin Diseases using
Deep Neural Networks",2020,MDPI,Journal,"Random Cropping, Resizing, Horizontal Flipping",ISIC-2018 dataset and Dermnet dataset,,"Acne and Rosacea,
AKBCC Actinic Keratosis, Basal Cell Carcinoma, and other Malignant Lesions,
ATO Atopic Dermatitis,
Bullous Diseases,
Cellulitis, Impetigo, and other Bacterial Infections,
Eczema Photos,
Exanthems and Drug Eruptions,
Alopecia and other Hair Diseases,
Herpes, Genital Warts, and other STIs,
Pigmentation Disorder,
Lupus and other Connective Tissue diseases,
Melanoma and Melanocytic Nevi,
Nail Fungus and other Nail Diseases,
Poison Ivy and other Contact Dermatitis,
Psoriasis Lichen Planus and related diseases,
Scabies, Lyme Disease, and other Infestations and Bites,
Seborrheic Keratoses and other Benign Tumors,
Systemic Disease,
Tinea Candidiasis and other Fungal Infections,
Urticaria,
Vascular Tumors,
Vasculitis,
WARTS CommonWarts, Mollusca Contagiosa and other Total.
Bowen Disease, Basal Cell, Carcinoma,
Benign Keratosis-like Lesions,
Dermatofibroma, Melanoma, Melanocytic Nevi, Vascular Lesions",,DenseNet201,"Derment = 67%
ISIC = 93%","The authors did not explore the potential benefits of ensemble techniques, such as bagging or boosting, to further improve the models' accuracy.",80.46%,96.57%,,lopecia and other Hair Diseases dd not have as much dataset as the others.,not specified,cancerous and non-cancerous ,26,,
42,Zia Ur Rehman et al (2022),"Classification of Skin Cancer Lesions Using Explainable
Deep Learning",2022,PubMed,Journal,contrast stretching and data augmentation,Kaggle,7327 images,benign and malignant skin diseases,,ECA-MobileNetV2 model,92.90%,"While the optimization strategy used in this study has shown promising results, other optimization techniques could improve the proposed method's performance.",93.96%,97.03%,Not applicable,There is a case of imbalance datase. malignant has lower dataset compared to benign,,"cancerous: Melignant, Non-cancerous: benign",2,,
43,Xin et al (2022),An improved transformer network for skin cancer classification,2022,Elsevier,Journal,"Data normalization, Data augmentation, Balanced sampling",HAM10000 and a clinical dataset,10015 photos and 1016 images,"Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions ",,Vision transformers,94.10%,"The model used suffers from a drawback in terms of its sluggish processing speed when handling high-resolution images. Also, it has not been adequately validated through a substantial number of clinical trials.",Not reported and not visible to be computed,Not reported and not visible to be computed,Not applicable,Dermatofibroma and Vascular lesions had the lowest number of dataset compare to others.,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
44,Aladhadh et al (2022),An Effective Skin Cancer Classification Mechanism via Medical Vision Transformer,2022,PubMed,Journal,"Brightness adjustment, Contrast enhancement, 
Geometric transformations",the HAM10000 dataset,"10,015 images ","Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions ",,Multi-View Transformer,96.14%,"The authors did not utilize an enhanced level data augmentation technique, which resulted in a missed opportunity to effectively address the issue of inequities in the data.",96%,96%,Not applicable,Dermatofibroma and Vascular lesions had the lowest number of dataset compare to others.,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
45,Reddy et al (2023),A Scheme for Effective Skin Disease Detection using Optimized Region Growing Segmentation and Autoencoder based Classification,2023,Elsevier,Journal,"Region Growing-Based Segmentation, Optimization of Thresholding Function, Feature Extraction, Autoencoder-Based Feature Reduction",PH2 dataset,200 skin disease images,"atypical nevus, common nevus, atypical nevi, and MEL images",,CNN with Keras application API,94.30%,The sample size used is very small and the model might be overfitting,92%,96%,No CM,There is a case of imbalance dataset. melanomas has lower dataset compared to he others.,Not specified,"cancerous: Melanoma, Non-menalona:Common Nevus, Atypical Nevus, Atypical Nevi",4,,
46,Naeem et al (2022),SCDNet: A Deep Learning-Based Framework for the Multiclassification of Skin Cancer Using Dermoscopy Images,2022,PubMed,Journal,"Downsizing the resolution, Data normalization",the ISIC 2019 dataset,,"Melanoma, Nevus, Basal Cell Carcinoma, and Benign Keratosis ",,SCDNet model (Vgg16 + CNN),96.91%,The study's diagnosis of skin cancer is limited as it cannot utilize an image dataset specifically comprising dark-skinned individuals.,92.18%,Not reported and not visible to be computed,,There is a case of imbalance .  Melanocytic Nev has very high number of images compare to others.,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, non-melanoma: Nevus, Benign Keratosis",4,,
47,El-Khatib et al (2020),"Deep Learning–Based Methods for Automatic
Diagnosis of Skin Lesions",2020,PubMed,Journal,"Conversion to Grayscale, Image Resizing, Hair Removal, Binarization",ISIC-2019 and PH2,300 images ,Melanocytic Nevi  and Melanoma skin lesions,,"Neural Network, Google Net, ResNet-101, NasNet-Large and SVM",95%,The small size of the dataset is used for training and testing.,94.12%,92.31%,,,,"cancerous: Melanoma, non-cancerous: Melanocytic Nevi",2,,
48,Lembhe et al (2023),Enhancement in Skin Cancer Detection using Image Super Resolution and Convolutional Neural Network,2023,Elsevier,Conference,Image Super Resolution ,ISIC dataset,"3,297 images",benign and malignant Melanoma skin lesions ,,"VGG16, ResNet, and InceptionV3","VGG16= 70.17%, ResNet= 86.57%, Inception V3= 91.26%","lack of sufficient clinical data for skin cancer, which may hinder the broader and more successful application of the proposed method.",92% for the best performing model.,Not reported and not visible to be computed,No CM,There is a case of imbalance . malignant melanoma lesions has less datset compare to Benign Skin Cancer.,not specified,"cancerous : Melanoma, non-cancerous: benign",2,,
49,Abbes and Sellami (2021),Deep Neural Networks for Melanoma Detection from Optical Standard Images Using Transfer Learning,2021,Elsevier,Cnference,"Image Resizing, Normalization, ROI Extraction, Data Augmentation",ISIC 2017 dataset and DermQuest,2206 images,benign lesions and Melanoma lesions,,"CNN model and transfer learning (VGGNet16, ResNet18, ResNet50)","CNN= 89%, CNN model + transfer
learning=97%, VGG16 network + trans-
fer learning= 80%, resnet18 network +
transfer learning= 97%, resnet50 network +
transfer learning= 82%",The study only focused on melanoma diagnosis,90% for the best performing model.,96% for the best performing model,No CM,Not applicable,not specified,"cancerous: Melignant, Non-cancerous: benign",2,,
50,Hameed et al (2019),An intelligent inflammatory skin lesions classification scheme for mobile devices,2019,IEEE,Conference,Not applicable,"DermIS , DermQuest and
DermNZ . ",1856 images,"Healthy, Acne, Eczema, and Psoriasis",,Pretrained SqueezeNet,97.21%,,94%,98%,Not applicable,Not applicable,not specified,non-cancerous,4,,
51,Adegun and Viriri. (2020),"FCN-Based DenseNet Framework for Automated
Detection and Classification of Skin
Lesions in Dermoscopy Images.",2020,IEEE,Journal,Not applicable,The HAM10000 dataset,10000 images,"Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions ",,Deep learning-based CAD framework and FCN-based DenseNet,98%,The limitation of this system is the high computation cost.,94.2% for the HAM10000 dataset and MEL,89.9% for the HAM10000 dataset and Nevi,,Dermatofibroma and Vascular lesions had the lowest number of dataset compare to others.,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
52,Lu et al (2022),"Deep Learning-Based Classification for Melanoma Detection
Using XceptionNet",2022,Journal of Healthcare Engineering,Journal,Data Augmentation,The HAM10000 dataset,"10,015 images","Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions ",,XceptionNet,100%,,94.05%,Cannot be ascertained from the confusion matrix because Carcinoma test datasets were not specified.,Not applicable,The individual number of images were not spefified for each class.,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
53,Aishwarya et al (2023),Skin Cancer Diagnosis with Yolo Deep Neural Network,2023,Elsevier,Conference, Resizing,ISIC dataset,"4,289 images","Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions ",,YOLO V3 and YOLO V4,"Yolo V3 =  0.981%, Yolo V4= 0.98%","the current work does not incorporate the latest versions of YoloV5 and YoloV7, which may affect the classification outcomes.",92.1% for the best performing model,98.9% for the best performing model,No CN,The individual number of images were not spefified for each class.,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
54,Adegun and Viriri (2019) ,Deep learning-based system for automatic melanoma detection,2019,IEEE,Journal,"Gaussian filte, Cropping, resizing, and resampling, Elastic deformations, Simple and random rotation, Normalization, Intensity remapping",ISIC 2017  dataset and PH2 dataset,,Melanomaand non-Melanoma,,Deep Convolutional Networks,95%,,97% on ISIC dataset,96% on ISIC dataset,,The individual number of images were not spefified for each class.,not specified,cancerous,2,,
55,Abunadi and Senan (2021),"Deep Learning and Machine Learning Techniques of Diagnosis
Dermoscopy Images for Early Detection of Skin Diseases",2021,MDPI,Journal,"image enhancement,  noise removal ,Hair removal with the Dullrazor technique",ISIC-2018 and PH2 datasets,1400 images,"Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions ",,"ANN, FFNN, ResNet-50 and Alex Net","ANN: 94.65%, FFNN ISIC 2018 dataset: 95.24% PH2 dataset: 97.91% Convolutional Neural Networks (CNNs): ResNet-50 model: ISIC 2018 dataset: 90% PH2 dataset: 95.8%, AlexNet: ICS2018: 85.3% PH2:91.7%",,95.64% for PH2 dataset,98.21% for PH2 dataset,dermatofibroma and melanocytic nevi  was  correctly classified 7.7% each compared to other skin diseases.,There is a case of imbalance dataset. vascular and dermatoma had the lowest dataset compared to others ,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
56,Kaur et al (2022),"Melanoma Classification Using a Novel Deep Convolutional
Neural Network with Dermoscopic Images",2022,PubMed,Journal,"Data Normalization, Data Augmentation, Image cropping , Transformation of images into square shapes, Rescaling","ISIC 2016, ISIC 2017, and ISIC 2020 dataset",10070 dermoscopic images ,malignant and benign melanoma lesions ,,DCNN,90.42%,The paper focuses on classifying melanoma disease. ,90.30%,Not reported and not visible to be computed,No CM,Not applicable,not specified,"cancerous: Melignant, Non-cancerous: benign",2,,
57,Akay et al (2021),Deep Learning Classification of Systemic Sclerosis Skin Using the MobileNetV2 Model,2021,IEEE,Journal,"Resizing, Format Conversion, Image Augmentation, Standard Scaling",from normal individuals with early and late stages of systemic sclerosis ,,systemic sclerosis ,,combined the UNet and MobileNetV2 models,95.20%,"The study did not assess the performance of the network with an expanded database including images from early, mid, and later stages of systemic sclerosis (SSc)",95.2% for the best performing model,95.1% for the best performing model,No CM,,"Early, Mid, Late",Non-cancerous,1,,
58,Kumar Gondhi et al (2021),An evolutionary approach for the enhancement of dermatological images and their classification using deep learning models,2021,PubMed,journal,"Initial Population Generation, Fitness Evaluation, Selection and Crossover based on fitness values, Mutation of selected candidates, Iteration and Convergence for about 1000 generations",ISIC,589 images ,"Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Squamous cell carcinoma  , and Vascular lesions ",, ResNet-152,95.85%,The dataset they used is limited.,Not reported for the overall model but for individual skin disease with minimum of 84.6% for Vasc.,Not reported for the overall model but for individual skin disease with minimum of 89.9% for Melanocytic nevus.  , Vascular lesion was correctly classified 11 compared to other skin diseases.,"There is a case of imbalance datset . Vascular lesion had the lowest number of dataset with 13, and Melanocytic nevus hd the highest number of images with 201",not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
59,Quattrini et al (2022),A Deep Learning-Based Facial Acne Classification System,2022,Taylor & Francis,journal,"Semantic Segmentation, Bounding Box Extraction",CelebAMask-HQ and  lickr-Faces-HQ (FFHQ),2307 images,Acne,,DenseNet121,Precision : 94.1%,"The limitation of the paper is that it only explored a single model, and there may be other models that could achieve even higher accuracy levels.",63.13%,Not reported and not visible to be computed,No CM,The individual number of images were not spefified for each class.,not specified,Non-cancerous,1,,
60,dimililer and Sekroglu (2023),Skin Lesion Classification Using CNN-based Transfer Learning Model,2023,Gazi University Journal of Science,journal,Not applicable,PAD at UFES-20 ,2298 images ,"Actinic Keratoses and Intraepithelial Carcinoma , Melanocytic Nevi ,  Sebhorreic Keratose , Basal Cell Carcinoma, Melanoma, and Basal Cell Carcinoma .",,CNN,86%,"The paper lacks preprocessing and augmentation of the dataset, which may limit the generalizability and validity of the findings.",81% for the best performing model: Binary-TL,88% for the best perorming model Binary-TL,No CM,There is a case of imbalance dataset.Malignant Melanoma has the lowest number of images compare to others,not specified,"Cancerous: Intraepithelial carcinoma, Basal cell carcinoma, Melanoma. non-cancerous: Actinic keratoses, Melanocytic nevi, Seborrheic keratosis.",6,,
61,Ozturk and Ozkaya. (2020),Skin lesion segmentation with improved convolutional neural network,2020,Springer,journal,"Elimination of hairs, Removal of markers' effects, Handling non-dominant lesions, Addressing distortions caused by different colored markers, Handling indeterminate lesions", ISBI 2017 and PH2 datasets ,2950 images,"Benign nevi, Melanoma, Seborrheic keratosis, Atypical nevi, Common nevi, Melanoma",,FCN,96.92%,,96.88 for the best performing model iFCN,95.31 for the best performing model iFCN,No CM,There is a case of imbalance dataset . Benign nevi had the highest number of images compared to others.,not specified,"Cancerous: Melanoma, Non-cancerous: Benign Nevi, Seborrheic Keratosis, Atypical Nevi, Common Nevi",6,,
62,Hasan et al (2022),"DermoExpert: Skin lesion classification using a hybrid convolutional neural network through segmentation, transfer learning, and augmentation",2022,IEEE,journal,"segmentation, augmentation, and class rebalancing.","ISIC-2016, ISIC-2017, and ISIC-2018 datasets.",,"Benign, Seborrheic Keratosis, Basal Cell Carcinoma, Actinic Keratosis, Dermatofibroma, Vascular Lesion, and Melanoma",,hybrid Convolutional Neural Network ,"For ISIC-2016:
    AUC: 0.96
For ISIC-2017:
    AUC: 0.95
For ISIC-2018:
    AUC: 0.97",The inability of the author to attain satisfactory class-balanced results for the ISIC-2018 dataset represents a limitation of the study,91.1% for ISIC-2018,95.4%  for ISIC-2018,Actinic Keratosis and Melanoma was correctly classified 55%  and 54%% compared to other skin diseases.,The individual number of images were not spefified for each class.,,"cancerous: Basal Cell Carcinoma, Melanoma, Non-cancerous: Benign, Seborrheic Keratosis, Dermatofibroma, Keratosis, Vascular Lesion",7,,
63,Wu et al (2019),"Studies on Different CNN Algorithms for Face Skin Disease Classification
Based on Clinical images",2019,IEEE,journal,"Random Reverse and Crop , Data Imbalance Handling",Xiangya-Derm database,"150,223 images","Sebhorreic Keratoses, Actinic Keratoses and Intraepithelial Carcinoma , rosacea, lupus erythematosus, Basal Cell Carcinoma, and Squamous Cell Carcinoma.",," ResNet-50, Inception -V3, DenseNet-121, Xception,  Inception-ResNet-V2","    ResNet-50: Precision 62.9%, Recall 63.4%
    Inception-V3: Recall 66.6%, Precision 64.0%
    DenseNet-121: Recall 68.2%, Precision 68.8%
    Xception: Recall 70.6%, Precision 68.1%
    Inception-ResNet-V2: Recall 77.0%, Precision 70.8%",The limitation of this study is the dataset; it is limited in quantity and quality.,77% for the best performing model.,Not reported and not visible to be computed, Actinic keratosis was correctly classified 0.54 compared to other skin diseases.,There is a case of imbalance dataset.  Actinic keratosis and Rosacea had the lowet number of dataset.,not specified,"Cancerous: Intraepithelial Carcinoma, Basal Cell Carcinoma, Squamous Cell Carcinoma, non-cancerous: Seborrheic Keratoses
Actinic Keratoses, Rosacea, Lupus Erythematosus",6,,
64,Seeja and Suresh (2019),Deep Learning Based Skin Lesion Segmentation and Classification of Melanoma Using Support Vector Machine (SVM),2019,PubMed,Journal,"Segmentatio, Color Feature Extraction, Texture Feature Extraction (Local Binary Patterns), Shape Feature Extraction (Gabor Filter and Edge Histogram), Histogram of Oriented Gradient (HOG)",ISBI 2016 dataset ,1800 images,Melanoma,,"RF, SVM, KNN, NB","RF: 82.22%, SVM: 85.19%, KNN: 79.26%, and NB: 65.93%.",The dataset used in this study was small,Not reported for the overall model but for individual skin disease with minimum of 54% for SK.,Not reported for the overall model but for individual skin disease with minimum of 74% for LE.,No CM,The individual number of images were not spefified for each class.,,,,,
65,G´alvez et al (2019) ,Towards improving skin cancer diagnosis by integrating microarray and RNA-seq datasets,2019,IEEE,Journal,"Sample Exclusion, Normalization, Batch Effect Correction, Inter-array Normalization",National Center for Biotechnology Information Gene Expression Omnibus,,"normal skin,Melanocytic Nevi , Basal Cell Carcinoma , invasive squamous cell carcinoma , primary Merkel cell carcinoma , metastatic",,"Support Vector Machines, K-Nearest Neighbour , and Naive Bayes",0.94,,Cannot be ascertained from the confusion matrix because the test data split for individual class was not specified.,Cannot be ascertained from the confusion matrix because the test data split for individual class was not specified.,Metastatic MCC was correctly classified 45.51 compared to other skin diseases.,There is a case of imbalance dataset as RNA-seq has a smaller dataset compared to microarray of the skin pathological states.,,,,,
66,Thurnhofer-Hemsi et al (2021),Skin Lesion Classification by Ensembles of Deep Convolutional Networks and Regularly Spaced Shifting,2021,IEEE,Journal,image resizing and mean subtraction. ,the HAM10000 dataset,"10,050 images ","Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions ",,CNN,84%,The dataset was not augmented and it may have caused  the model to prioritize the accuracy of the majority of classes,68.8% for the best performing model with data augmentation,95.8% for the best performing model with data augmentation,,The individual number of images were not spefified for each class.,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
67,Srividhya et al (2020) ,Vision based detection and categorization of skin lesions using deep learning neural networks ,2020,Elsevier ,Conference,"Wiener Filter for Image Deblurring, Texture-Based Segmentation, HPF (Highly Perceptive Features) Extraction",DermIS and DermQuest,44 images,benign and malignant skin cancer,,CNN,95%,,93.30%,Not reported and not visible to be computed,No CM,Not applicable,not specified,"cancerous: Melignant, Non-cancerous: benign",2,,
68,Rout and Parida (2020),Transition region-based approach for skin lesion segmentation,2020,Elsevier ,Conference,"Extraction of color components, Blurring of Green channel image, Extraction of local variance features, Extraction of transition regions from local variance features, Morphological operations for segmentation mask extraction.", DermQuest and ISIC 2017 datasets,,"Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions ",,CNN,98.40%,"The authors only focus on the classification of melanoma skin disease, without considering other types of skin diseases or conditions.",95.5% for the best performing model(proposed),98.5%  for the best performing model(proposed),No CM,The individual number of images were not spefified for each class.,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
69,Perez and Ventura (2023) ,Progressive growing of generative adversarial networks for improving data augmentation and skin cancer diagnosis,2023,Elsevier ,Journal,"Normalization, Data Augmentation, Segmentation Thresholding","BCN20000, DERM-LIB, DERM7PT-D, HAM10000, ISBI2016, ISBI2017, MSK-1, MSK-2, MSK3, MSK-4, PH2, UDA-1, UDA-2, DERM7PT-C, MED-NODE, and SDC-198. ","36,703 images ",melanoma,,RGAN,82%,,Not reported and not visible to be computed,Not reported and not visible to be computed,No CM,The individual number of images were not spefified for each class.,not specfied,cancerous: Melanoma,,,
70,Qiu et al (2023),GFANet: Gated Fusion Attention Network for skin lesion segmentation,2023,Elsevier ,Journal,Not applicable,"ISIC 2016,  ISIC 2017,  ISIC 2018, PH2.",6073 images ,"Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions ",,GFANet ,Jaccard Index (JI) score 86.17%,"The GFANet model has a limitation in capturing long-distance dependencies due to the convolution operation in the encoder, which affects its ability to effectively model relationships between distant elements in the input data.",92.9% for ISIC-2016,97.2% for ISIC-2016,No CM,The individual number of images were not spefified for each class.,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
71,Bar?n and Gu¨raks?n (2022),An automatic skin lesion segmentation system with hybrid FCN-ResAlexNet,2022,Elsevier ,Journal,"Resizing, Color Constancy, Contrast Limited Adaptive Histogram Equalization (CLAHE).","ISIC2017,  ISIC2018",5344 images,"benign, Sebhorreic Keratoses, Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Dermatofibroma, vascular lesion, and Melanoma .",,FCN-ResAlexNet,94.65%,"The paper did not utilize the deep feature fusion approach. However, incorporating a deep feature fusion method has the potential to improve the accuracy of the segmentation architecture, especially when dealing with increased input size.",79.20%,97.80%,No CM,The individual number of images were not spefified for each class.,not specified,"cancerous: Basal Cell Carcinoma, Actinic Keratoses and Intraepithelial Carcinoma, Melanoma, Non-cancerous: Benign, Seborrheic Keratoses, Dermatofibroma, Vascular Lesion",7,,
72,Mridha et al (2023),An interpretable skin cancer classification using optimized convolutional neural network for a smart healthcare system,2023,IEEE,Journal,"Data Normalization (Contrast Stretching), Data Augmentation", HAM10000 dataset,10015 images,"Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions ",,CNN,82%,,"The best performing model function (relu + adam) had a minimum of 0% sensitivity. In addition, the second best performing model function (swish + RMSProp) had a minimum of 42.9% sensitivity. ",Not reported and not visible to be computed,bening keratiosis like lesion was correctly classified 42.9 compared to other skin diseases.,AII the datset are imbalance . Dermatofibroma and Vascular lesions has the smallest dataset compared to others.,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
73,Kassem et al (2020),"Skin Lesions Classification into Eight Classes for
ISIC 2019 Using Deep Convolutional Neural
Network and Transfer Learning",2020,IEEE,Journal,"Image Augmentation,Equalizing Class Sizes,Normalization.", ISIC 2019,"29,424 images","Melanoma , Melanocytic Nevi , Basal Cell Carcinoma , Actinic Keratoses and Intraepithelial Carcinoma , Benign Keratosis ,Dermatofibroma , and Vascular lesions ",,Google Net,94.92%,"One limitation of the reviewed paper is that the authors attempted to use the VGG19 architecture but encountered difficulties training and testing the model on the same device, which is due to the specific hardware requirements of VGG19. As a result, the use of VGG19 was limited in the study, and alternative models had to be employed.",79.80%,97%,Not applicable,,not specified,"cancerous: Melanoma, Basal Cell Carcinoma, Actinic Keratoses (AK) and Intraepithelial Carcinoma, Non-Cancerous: Melanocytic Nevi , Benign Keratosis, Dermatofibroma, Vascular Lesions.",7,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
