All,Money_and_time_saving,Money_Saving_and_Healthy_Shopping,Money_saving,Timely_and_healthy_shopping,Time_saving,healthy_shopping
7,6,5,5,6,6,5
6,6,6,5,5,6,3
6,6,3,3,7,5,6
5,7,6,5,6,6,5
6,6,7,6,,6,5
6,6,6,6,,6,3
6,3,6,2,,6,6
6,2,4,2,,6,6
6,5,6,1,,5,6
6,5,,4,,5,5
6,1,,3,,5,
6,6,,7,,6,
5,6,,4,,5,
7,6,,2,,5,
6,2,,6,,5,
7,5,,5,,5,
7,5,,4,,6,
5,5,,6,,3,
5,6,,5,,6,
7,6,,2,,6,
7,6,,5,,3,
7,5,,6,,7,
5,7,,3,,7,
6,5,,6,,5,
7,6,,6,,4,
6,5,,5,,5,
7,5,,5,,5,
7,5,,5,,,
7,5,,6,,,
5,5,,3,,,
6,6,,3,,,
6,6,,1,,,
5,6,,5,,,
5,6,,5,,,
6,6,,6,,,
5,5,,5,,,
4,6,,6,,,
7,4,,6,,,
5,4,,5,,,
6,5,,,,,
7,,,,,,
5,,,,,,
5,,,,,,
5,,,,,,
5,,,,,,
6,,,,,,
5,,,,,,
6,,,,,,
6,,,,,,
6,,,,,,
6,,,,,,
6,,,,,,
6,,,,,,
6,,,,,,
5,,,,,,
6,,,,,,
6,,,,,,
5,,,,,,
7,,,,,,
6,,,,,,
6,,,,,,
5,,,,,,
6,,,,,,
6,,,,,,
5,,,,,,
6,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
6,,,,,,
7,,,,,,
6,,,,,,
6,,,,,,
3,,,,,,
6,,,,,,
6,,,,,,
6,,,,,,
5,,,,,,
6,,,,,,
6,,,,,,
7,,,,,,
7,,,,,,
5,,,,,,
6,,,,,,
6,,,,,,
6,,,,,,
7,,,,,,
4,,,,,,
6,,,,,,
6,,,,,,
6,,,,,,
7,,,,,,
5,,,,,,
7,,,,,,