Money_Saving_and_Healthy_Shopping,Money_saving,Time_saving,Neither
7,6,5,6
6,5,6,6
6,6,5,5
5,5,7,6
6,6,6,6
5,3,3,6
6,5,6,6
7,7,5,6
6,6,5,5
6,6,3,6
6,6,,5
6,2,,6
6,6,,5
5,4,,5
7,2,,5
6,1,,5
7,3,,6
7,5,,3
5,4,,6
5,5,,7
7,4,,3
7,1,,7
7,7,,7
5,5,,5
6,3,,4
7,6,,
6,6,,
7,5,,
7,6,,
7,6,,
5,5,,
6,3,,
6,6,,
5,5,,
5,5,,
6,5,,
5,6,,
6,3,,
6,5,,
7,5,,
5,3,,
4,6,,
6,6,,
7,6,,
5,6,,
5,5,,
5,6,,
5,5,,
6,5,,
5,5,,
6,6,,
6,3,,
6,3,,
6,7,,
6,1,,
6,5,,
6,6,,
6,5,,
6,5,,
6,6,,
5,5,,
7,6,,
6,5,,
6,5,,
5,6,,
6,6,,
6,6,,
6,6,,
7,6,,
7,5,,
5,6,,
6,,,
5,,,
6,,,
7,,,
6,,,
7,,,
6,,,
7,,,
7,,,
3,,,
6,,,
6,,,
6,,,
5,,,
6,,,
6,,,
7,,,
7,,,