x1,x2,x3,x4
1,1,7,3
1,1,7,5
1,1,6,4
1,1,6,4
1,1,5,4
1,1,6,4
0,2,6,2
1,1,5,4
1,1,7,5
1,1,6,4
1,1,6,4
0,2,5,4
1,1,6,4
1,1,7,5
1,1,6,3
1,1,5,5
1,1,4,5
1,1,6,3
1,1,7,5
1,1,6,5
1,1,6,4
1,1,7,5
1,1,6,5
1,1,5,4
1,1,7,3
1,1,7,5
1,1,7,5
1,1,5,4
1,1,6,3
1,1,7,4
1,1,7,4
1,1,7,4
1,1,7,4
1,1,5,4
0,2,6,4
1,1,6,5
1,1,6,4
0,2,6,5
0,2,5,4
1,1,6,4
0,2,5,4
1,1,6,5
1,1,6,5
1,1,5,4
1,1,2,4
1,1,6,4
1,1,7,3
1,1,5,3
1,1,3,3
1,1,4,4
1,1,1,3
1,1,5,4
1,1,6,3
1,1,5,4
1,1,6,3
1,1,5,5
1,1,5,5
1,1,6,3
1,1,5,3
1,1,3,3
1,1,6,4
1,1,5,5
1,1,6,5
1,1,6,5
1,1,6,5
1,1,6,4
1,1,5,5
1,1,6,5
1,1,6,4
1,1,6,2
1,1,7,3
0,2,7,3
1,1,7,4
1,1,5,4
1,1,6,3
1,1,6,3
1,1,5,3
1,1,7,3
1,1,6,3
1,1,6,4
1,1,5,3
1,1,5,4
1,1,5,4
1,1,2,3
1,1,7,5
1,1,5,5
1,1,5,5
1,1,3,3
1,1,6,4
0,2,6,4
1,1,7,5
1,1,4,4
1,1,6,5
1,1,5,4
1,1,6,5
1,1,6,5
0,2,7,5
0,2,3,2
1,1,7,5
1,1,6,5
1,1,5,4
1,1,4,3
1,1,6,4
1,1,3,3
1,1,7,5
1,1,7,3
1,1,7,5
1,1,7,4
1,1,6,4
1,1,1,2
1,1,6,5
1,1,5,4
1,1,6,5
1,1,6,4
1,1,6,4
1,1,5,4
0,2,7,5
1,1,5,4
1,1,6,4
1,1,5,4
1,1,6,5
1,1,6,3
1,1,7,5
1,1,7,5
1,1,5,3
0,2,7,4
1,1,6,3
1,1,6,5
1,1,7,4
1,1,3,3
1,1,3,3
1,1,6,4
1,1,5,4
1,1,4,4
1,1,7,4
1,1,5,5
1,1,6,4
0,2,7,4
0,2,4,4
1,1,6,4
1,1,5,5
1,1,6,4
0,2,7,4
1,1,7,5
1,1,6,4
1,1,6,4
1,1,6,5
0,2,6,5
0,2,6,5
0,2,6,5
1,1,5,4
1,1,6,3
1,1,6,4
1,1,5,4
1,1,2,3
1,1,7,4
1,1,6,3
1,1,5,3
1,1,4,4
1,1,1,3
0,2,6,3
1,1,6,4
1,1,6,5
1,1,6,5
1,1,7,5
0,2,5,4
0,2,6,4
0,2,5,4
1,1,6,4
0,2,5,3
1,1,6,3
0,2,5,4
1,1,5,3
1,1,5,3
1,1,5,3
1,1,5,4
0,2,5,4
0,2,6,4
0,2,3,3
1,1,6,4
1,1,6,4
1,1,5,4
1,1,6,5
1,1,5,4
0,2,7,4
0,2,7,2
1,1,3,3
0,2,3,3
1,1,5,4
1,1,5,3
1,1,6,4
1,1,5,3
0,2,6,5
0,2,5,5
0,2,5,5
1,1,6,5
1,1,5,4
1,1,6,5
1,1,6,4
0,2,3,4
1,1,6,4
1,1,6,4
1,1,6,4
1,1,6,4
0,2,5,5
0,2,4,3
0,2,6,3
0,2,5,3
1,1,6,4
0,2,5,4
1,1,4,4
1,1,6,3
1,1,5,4
1,1,2,4
0,2,5,4
1,1,7,4
1,1,6,3
1,1,6,4
0,2,5,3
1,1,5,4
1,1,6,3
1,1,7,4
1,1,7,3