Time_saving,Not_time_saving
7,6
7,6
6,5
6,5
6,4
7,4
6,6
6,7
6,1
6,6
6,3
5,2
6,1
7,4
6,2
6,7
6,4
6,2
6,6
5,5
7,6
7,3
6,7
7,5
7,1
6,7
5,6
7,6
7,3
6,7
5,6
6,6
7,6
6,5
7,6
7,6
7,3
5,3
6,4
6,3
6,1
6,6
6,5
6,5
6,5
6,5
5,3
5,7
6,6
5,5
6,6
5,5
2,5
7,3
6,7
1,6
5,6
1,7
5,
5,
7,
5,
4,
6,
6,
1,
5,
3,
6,
6,
6,
6,
6,
6,
6,
6,
6,
6,
6,
5,
6,
6,
6,
6,
6,
5,
6,
7,
7,
6,
6,
6,
5,
7,
6,
6,
1,
5,
3,
3,
5,
6,
4,
7,
6,
5,
6,
5,
6,
6,
6,
3,
7,
6,
6,
7,
7,
6,
7,
7,
7,
6,
1,
4,
6,
6,
6,
5,
7,
5,
6,
7,
5,
6,
5,
5,
6,
6,
6,
6,
7,
6,
6,
6,
7,
5,
3,
7,
5,
6,
6,
6,
5,
4,
7,
2,
3,
6,
5,
6,
5,
5,
7,
4,
7,